*** szafir SiO2 3 mkm 05-04-19	*START	Date: 2019-04-05	Time: 16:05:18
Current for R :1.000mA	Current 3-Omega5.000 mA		
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
3.845225E-4	-9.870000E-6	1.490000E+0	5.247000E-1	7.940000E+2	4.792140E+1
3.843575E-4	-1.187500E-5	1.820000E+0	5.247100E-1	1.000000E+3	4.792920E+1
3.844725E-4	-1.468000E-5	2.150000E+0	5.248000E-1	1.260000E+3	4.792620E+1
3.841550E-4	-1.827750E-5	2.780000E+0	5.249000E-1	1.580000E+3	4.792230E+1
3.834400E-4	-2.305000E-5	3.510000E+0	5.249000E-1	1.990000E+3	4.792310E+1
3.843650E-4	-3.258000E-5	4.870000E+0	5.249000E-1	2.510000E+3	4.792560E+1
3.823450E-4	-3.972250E-5	5.940000E+0	5.249050E-1	3.160000E+3	4.792650E+1
3.824300E-4	-4.924750E-5	7.340000E+0	5.248000E-1	3.980000E+3	4.792770E+1
3.828625E-4	-6.207500E-5	9.220000E+0	5.248000E-1	5.010000E+3	4.792720E+1
3.823075E-4	-7.984750E-5	1.183000E+1	5.247000E-1	6.310000E+3	4.792400E+1
3.806800E-4	-1.038000E-4	1.531000E+1	5.246000E-1	7.940000E+3	4.792510E+1
3.730425E-4	-1.342875E-4	1.975000E+1	5.244300E-1	1.000000E+4	4.792570E+1
3.552600E-4	-1.627925E-4	2.462000E+1	5.242000E-1	1.260000E+4	4.791830E+1
3.459250E-4	-2.033725E-4	3.044000E+1	5.237000E-1	1.580000E+4	4.792460E+1
3.207800E-4	-2.408275E-4	3.688000E+1	5.232000E-1	1.990000E+4	4.792370E+1
3.100875E-4	-2.571050E-4	3.970000E+1	5.228000E-1	2.200000E+4	4.792710E+1
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
 55.0000	 54.9988	 53.8978	101.8440	  2.5461	  5.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.629950E-4	2.737500E-6	-5.100000E-1	5.290250E-1	6.310000E+0	5.390180E+1
3.611025E-4	2.180000E-6	-3.800000E-1	5.337050E-1	7.940000E+0	5.390750E+1
3.659475E-4	2.120000E-6	3.000000E-2	5.344000E-1	1.000000E+1	5.390340E+1
3.589850E-4	-2.847500E-6	4.200000E-1	5.345850E-1	1.260000E+1	5.390080E+1
3.586825E-4	5.000000E-9	6.400000E-1	5.345250E-1	1.580000E+1	5.390520E+1
3.585650E-4	3.482500E-6	8.300000E-1	5.345950E-1	1.990000E+1	5.390050E+1
3.596150E-4	7.000000E-7	-2.300000E-1	5.346000E-1	2.510000E+1	5.390660E+1
3.593450E-4	1.050000E-7	-8.000000E-2	5.346000E-1	3.160000E+1	5.389820E+1
3.596225E-4	-6.275000E-7	5.000000E-2	5.346000E-1	3.980000E+1	5.390300E+1
3.652400E-4	1.801750E-5	-6.620000E+0	5.344750E-1	5.010000E+1	5.390180E+1
3.595050E-4	-8.925000E-7	4.000000E-2	5.345800E-1	6.310000E+1	5.390130E+1
3.594725E-4	-1.095000E-6	1.700000E-1	5.346000E-1	7.940000E+1	5.390580E+1
3.581975E-4	1.000000E-6	-5.800000E-1	5.346800E-1	1.000000E+2	5.390340E+1
