*** szafir SiO2 20 mkm 15-04-2019	*START	Date: 2019-04-15	Time: 13:31:42
Current for R :2.000mA	Current 3-Omega25.000 mA		

Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
200.0000	200.0044	202.6025	 19.3302	 12.0814	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.123280E-4	-1.671200E-5	8.560000E+0	5.008000E-1	7.940000E+2	2.075129E+2
1.102420E-4	-1.717800E-5	8.910000E+0	5.007700E-1	1.000000E+3	2.075084E+2
1.081820E-4	-1.807800E-5	9.470000E+0	5.007500E-1	1.260000E+3	2.075045E+2
1.062200E-4	-1.922400E-5	1.022000E+1	5.008000E-1	1.580000E+3	2.075209E+2
1.036600E-4	-2.073600E-5	1.142000E+1	5.007200E-1	1.990000E+3	2.075134E+2
1.004420E-4	-2.216200E-5	1.254000E+1	5.007800E-1	2.510000E+3	2.075053E+2
9.773600E-5	-2.371400E-5	1.369000E+1	5.008000E-1	3.160000E+3	2.075229E+2
9.930400E-5	-2.616600E-5	1.481000E+1	5.007000E-1	3.980000E+3	2.075058E+2
9.770400E-5	-3.027600E-5	1.728000E+1	5.007000E-1	5.010000E+3	2.075185E+2
9.498400E-5	-3.670200E-5	2.121000E+1	5.006000E-1	6.310000E+3	2.075205E+2
8.924600E-5	-4.305000E-5	2.571000E+1	5.006000E-1	7.940000E+3	2.075205E+2
8.257200E-5	-4.597000E-5	2.902000E+1	5.005000E-1	1.000000E+4	2.075147E+2
7.628200E-5	-5.262200E-5	3.455000E+1	5.004000E-1	1.260000E+4	2.075092E+2
6.514600E-5	-5.575400E-5	4.061000E+1	5.002000E-1	1.580000E+4	2.075059E+2
7.698200E-5	-7.366600E-5	4.357000E+1	4.999400E-1	1.990000E+4	2.075082E+2
7.461200E-5	-8.331600E-5	4.818000E+1	4.998000E-1	2.200000E+4	2.075170E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
210.0000	210.0091	212.3638	 19.7275	 12.3297	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.580440E-4	-2.276800E-5	8.210000E+0	4.976400E-1	6.310000E+0	2.123770E+2
1.561520E-4	-2.187000E-5	7.980000E+0	5.018300E-1	7.940000E+0	2.123772E+2
1.526700E-4	-2.097200E-5	7.770000E+0	5.037000E-1	1.000000E+1	2.123929E+2
1.510180E-4	-1.941600E-5	7.310000E+0	5.045000E-1	1.260000E+1	2.123952E+2
1.480620E-4	-1.851200E-5	7.230000E+0	5.048000E-1	1.580000E+1	2.124025E+2
1.464260E-4	-1.717400E-5	6.690000E+0	5.050000E-1	1.990000E+1	2.124054E+2
1.443460E-4	-1.616800E-5	6.370000E+0	5.051000E-1	2.510000E+1	2.123982E+2
1.423760E-4	-1.547400E-5	6.210000E+0	5.052000E-1	3.160000E+1	2.124082E+2
1.404900E-4	-1.491800E-5	6.050000E+0	5.051600E-1	3.980000E+1	2.123994E+2
1.384640E-4	-1.455800E-5	8.000000E+0	5.056900E-1	5.010000E+1	2.123967E+2
1.370360E-4	-1.440200E-5	6.020000E+0	5.052000E-1	6.310000E+1	2.124111E+2
1.351740E-4	-1.450000E-5	6.110000E+0	5.052000E-1	7.940000E+1	2.124034E+2
1.332160E-4	-1.467400E-5	6.290000E+0	5.052000E-1	1.000000E+2	2.123998E+2
1.311980E-4	-1.502000E-5	6.520000E+0	5.052000E-1	1.260000E+2	2.123816E+2
1.290460E-4	-1.525200E-5	6.730000E+0	5.052000E-1	1.580000E+2	2.124022E+2
1.268420E-4	-1.542400E-5	6.970000E+0	5.052000E-1	1.990000E+2	2.124030E+2
1.245800E-4	-1.569600E-5	7.210000E+0	5.052000E-1	2.510000E+2	2.123887E+2
1.223400E-4	-1.592600E-5	7.400000E+0	5.052000E-1	3.160000E+2	2.124057E+2
1.200900E-4	-1.617400E-5	7.650000E+0	5.052000E-1	3.980000E+2	2.123980E+2
1.179840E-4	-1.646200E-5	7.970000E+0	5.052000E-1	5.010000E+2	2.123991E+2
1.157980E-4	-1.679400E-5	8.100000E+0	5.052000E-1	6.310000E+2	2.124008E+2
1.137280E-4	-1.740400E-5	8.730000E+0	5.052000E-1	7.940000E+2	2.123983E+2
1.114500E-4	-1.799400E-5	9.110000E+0	5.052000E-1	1.000000E+3	2.124000E+2
1.092080E-4	-1.878600E-5	9.790000E+0	5.052000E-1	1.260000E+3	2.123971E+2
1.071820E-4	-1.992000E-5	1.055000E+1	5.052000E-1	1.580000E+3	2.123906E+2
1.045260E-4	-2.141000E-5	1.160000E+1	5.052000E-1	1.990000E+3	2.124015E+2
1.013780E-4	-2.280600E-5	1.264000E+1	5.052000E-1	2.510000E+3	2.124087E+2
9.848200E-5	-2.440000E-5	1.392000E+1	5.052000E-1	3.160000E+3	2.124034E+2
1.000340E-4	-2.681400E-5	1.505000E+1	5.051000E-1	3.980000E+3	2.124047E+2
9.844400E-5	-3.095400E-5	1.748000E+1	5.051000E-1	5.010000E+3	2.123958E+2
9.548600E-5	-3.750400E-5	2.142000E+1	5.050000E-1	6.310000E+3	2.123980E+2
8.955200E-5	-4.389600E-5	2.614000E+1	5.050000E-1	7.940000E+3	2.124090E+2
8.169000E-5	-4.514000E-5	2.886000E+1	5.049000E-1	1.000000E+4	2.123928E+2
7.577200E-5	-5.363800E-5	3.517000E+1	5.048000E-1	1.260000E+4	2.123907E+2
8.111000E-5	-6.140800E-5	3.704000E+1	5.046000E-1	1.580000E+4	2.123978E+2
7.707000E-5	-7.456600E-5	4.400000E+1	5.044000E-1	1.990000E+4	2.123941E+2
7.335400E-5	-8.371400E-5	4.885000E+1	5.042000E-1	2.200000E+4	2.124001E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
215.0000	215.0093	217.2431	 19.9237	 12.4523	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.610240E-4	-2.340800E-5	8.270000E+0	5.023500E-1	6.310000E+0	2.172511E+2
1.591580E-4	-2.245800E-5	8.010000E+0	5.064700E-1	7.940000E+0	2.172528E+2
1.563240E-4	-2.208000E-5	8.040000E+0	5.082500E-1	1.000000E+1	2.172583E+2
1.539800E-4	-1.988600E-5	7.390000E+0	5.090000E-1	1.260000E+1	2.172536E+2
1.515120E-4	-1.804600E-5	6.780000E+0	5.093000E-1	1.580000E+1	2.172629E+2
1.491620E-4	-1.764800E-5	6.750000E+0	5.095000E-1	1.990000E+1	2.172716E+2
