*** Si_SiO2 - 22_02_2022	*START	Date: 2024-02-22	Time: 14:53:13
Current for R :1.000mA	Current 3-Omega30.000 mA		
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
2.468050E-4	-3.251000E-5	7.510000E+0	7.520000E-1	1.260000E+1	2.394905E+2
2.415900E-4	-3.130000E-5	7.390000E+0	7.519000E-1	1.580000E+1	2.394981E+2
2.368000E-4	-3.003000E-5	7.240000E+0	7.519000E-1	1.990000E+1	2.395003E+2
2.322800E-4	-2.845500E-5	6.950000E+0	7.518000E-1	2.510000E+1	2.395097E+2
2.280450E-4	-2.699500E-5	6.770000E+0	7.517000E-1	3.160000E+1	2.395119E+2
2.239600E-4	-2.532000E-5	6.460000E+0	7.516500E-1	3.980000E+1	2.395100E+2
2.191000E-4	-2.258000E-5	4.750000E+0	7.523900E-1	5.010000E+1	2.394974E+2
2.173600E-4	-2.227500E-5	5.860000E+0	7.515000E-1	6.310000E+1	2.395027E+2
2.144300E-4	-2.094500E-5	5.540000E+0	7.514000E-1	7.940000E+1	2.395125E+2
2.118200E-4	-1.987500E-5	5.380000E+0	7.514000E-1	1.000000E+2	2.395044E+2
2.094650E-4	-1.873500E-5	5.090000E+0	7.514000E-1	1.260000E+2	2.395006E+2
2.073550E-4	-1.820500E-5	5.010000E+0	7.514000E-1	1.580000E+2	2.395216E+2
2.053100E-4	-1.781000E-5	4.950000E+0	7.514000E-1	1.990000E+2	2.395134E+2
2.031850E-4	-1.765500E-5	4.970000E+0	7.514000E-1	2.510000E+2	2.395067E+2
2.013000E-4	-1.789000E-5	5.070000E+0	7.514000E-1	3.160000E+2	2.395105E+2
1.991150E-4	-1.840500E-5	5.270000E+0	7.514000E-1	3.980000E+2	2.395036E+2
1.969400E-4	-1.900000E-5	5.500000E+0	7.514000E-1	5.010000E+2	2.395114E+2
1.946200E-4	-1.977500E-5	5.790000E+0	7.514000E-1	6.310000E+2	2.395163E+2
1.919900E-4	-2.066500E-5	6.120000E+0	7.514000E-1	7.940000E+2	2.395152E+2
1.894000E-4	-2.161500E-5	6.480000E+0	7.514000E-1	1.000000E+3	2.395175E+2
1.867500E-4	-2.324000E-5	7.170000E+0	7.513600E-1	1.260000E+3	2.395317E+2
1.835900E-4	-2.517500E-5	7.810000E+0	7.514000E-1	1.580000E+3	2.395323E+2
1.795550E-4	-2.675500E-5	8.490000E+0	7.514000E-1	1.990000E+3	2.395308E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
250.0000	250.1037	248.8969	 25.6860	 23.1174	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
2.249900E-4	-2.342500E-5	5.910000E+0	7.702000E-1	6.310000E+1	2.490456E+2
2.220300E-4	-2.202500E-5	5.670000E+0	7.702000E-1	7.940000E+1	2.490565E+2
2.192600E-4	-2.109000E-5	5.480000E+0	7.701600E-1	1.000000E+2	2.490250E+2
2.168600E-4	-1.986000E-5	5.230000E+0	7.701000E-1	1.260000E+2	2.490386E+2
2.146900E-4	-1.923500E-5	5.150000E+0	7.701000E-1	1.580000E+2	2.490329E+2
2.124550E-4	-1.883000E-5	5.050000E+0	7.701000E-1	1.990000E+2	2.490353E+2
2.102400E-4	-1.887500E-5	5.150000E+0	7.701000E-1	2.510000E+2	2.490271E+2
2.081900E-4	-1.909500E-5	5.270000E+0	7.700800E-1	3.160000E+2	2.490320E+2
2.058400E-4	-1.960500E-5	5.430000E+0	7.700000E-1	3.980000E+2	2.490259E+2
2.033150E-4	-2.045000E-5	5.720000E+0	7.700000E-1	5.010000E+2	2.490243E+2
2.006600E-4	-2.130000E-5	6.090000E+0	7.700000E-1	6.310000E+2	2.490116E+2
1.980250E-4	-2.223500E-5	6.360000E+0	7.700000E-1	7.940000E+2	2.490170E+2
1.951500E-4	-2.341500E-5	6.980000E+0	7.699200E-1	1.000000E+3	2.490235E+2
1.925050E-4	-2.505500E-5	7.420000E+0	7.698000E-1	1.260000E+3	2.489987E+2
1.892050E-4	-2.706500E-5	8.120000E+0	7.698000E-1	1.580000E+3	2.489939E+2
1.854050E-4	-2.915500E-5	8.930000E+0	7.698000E-1	1.990000E+3	2.489927E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
260.0000	259.7379	258.5511	 26.4550	 23.8095	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
2.340750E-4	-2.474500E-5	6.020000E+0	7.912000E-1	6.310000E+1	2.587528E+2
2.308550E-4	-2.326500E-5	5.780000E+0	7.912000E-1	7.940000E+1	2.587665E+2
2.283500E-4	-2.194000E-5	5.510000E+0	7.912000E-1	1.000000E+2	2.587690E+2
2.262600E-4	-2.109500E-5	5.340000E+0	7.912000E-1	1.260000E+2	2.587597E+2
2.232200E-4	-2.047000E-5	5.250000E+0	7.912000E-1	1.580000E+2	2.587789E+2
2.208450E-4	-2.010000E-5	5.220000E+0	7.912000E-1	1.990000E+2	2.587828E+2
2.183500E-4	-2.028000E-5	5.310000E+0	7.912000E-1	2.510000E+2	2.587701E+2
2.160600E-4	-2.054500E-5	5.440000E+0	7.912000E-1	3.160000E+2	2.587663E+2
2.135550E-4	-2.118000E-5	5.650000E+0	7.912000E-1	3.980000E+2	2.587733E+2
2.110100E-4	-2.187000E-5	5.920000E+0	7.912000E-1	5.010000E+2	2.587762E+2
2.079200E-4	-2.289000E-5	6.290000E+0	7.912000E-1	6.310000E+2	2.587749E+2
2.051450E-4	-2.388000E-5	6.630000E+0	7.912000E-1	7.940000E+2	2.587678E+2
2.020600E-4	-2.519000E-5	7.320000E+0	7.912000E-1	1.000000E+3	2.587804E+2
1.990850E-4	-2.684500E-5	7.700000E+0	7.912000E-1	1.260000E+3	2.587991E+2
1.956700E-4	-2.898500E-5	8.440000E+0	7.912000E-1	1.580000E+3	2.587954E+2
1.915050E-4	-3.116000E-5	9.230000E+0	7.912000E-1	1.990000E+3	2.588025E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
270.0000	269.8581	268.2293	 27.1980	 24.4782	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
2.436450E-4	-2.597500E-5	6.080000E+0	8.118800E-1	6.310000E+1	2.683285E+2
2.403250E-4	-2.441000E-5	5.780000E+0	8.118000E-1	7.940000E+1	2.683268E+2
2.382050E-4	-2.314000E-5	5.550000E+0	8.118000E-1	1.000000E+2	2.683105E+2
2.345900E-4	-2.229000E-5	5.420000E+0	8.118000E-1	1.260000E+2	2.683198E+2
2.320600E-4	-2.169000E-5	5.350000E+0	8.118000E-1	1.580000E+2	2.683255E+2
2.296350E-4	-2.137500E-5	5.330000E+0	8.117000E-1	1.990000E+2	2.683265E+2
2.270450E-4	-2.153500E-5	5.430000E+0	8.117000E-1	2.510000E+2	2.683287E+2
2.243900E-4	-2.198000E-5	5.580000E+0	8.116000E-1	3.160000E+2	2.683377E+2
2.216300E-4	-2.267000E-5	5.870000E+0	8.115000E-1	3.980000E+2	2.683319E+2
2.186850E-4	-2.353000E-5	6.140000E+0	8.115000E-1	5.010000E+2	2.683437E+2
2.156150E-4	-2.457500E-5	6.520000E+0	8.115300E-1	6.310000E+2	2.683472E+2
2.124200E-4	-2.556500E-5	6.830000E+0	8.115000E-1	7.940000E+2	2.683440E+2
